pChEMBL Value,Canomicalsmiles
5.66,CCn1cc(-c2nc3ccc(C)cc3[nH]2)c2cc(C(=O)c3cc(OC)c(OC)c(OC)c3)ccc21
4.06,C=CCc1cc(/C=C(\C#N)C(=O)OCC)c(O)c(-c2ccc(O)c(CC=C)c2)c1
8.46,C=C(c1ccc(OC)c(O)c1)c1cc(OC)c(OC)c(OC)c1
5.49,NCCCCCCC(=S)N/N=C1\CC2(CCCCC2)Oc2c1ccc1ccccc21
5.44,Cc1ccc(-n2cc(-c3cccc(NS(=O)(=O)c4c[nH]c(=O)[nH]c4=O)c3)nn2)cc1
4.38,COc1cccc(OC)c1/C=C/[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
5.0,COc1ccc(-c2cc3c(OC)cc(OC)cc3n(C)/c2=N\Nc2ccccn2)cc1
4.86,O=C(C[n+]1ccn(Cc2c(-c3ccccc3)oc3ccccc23)c1)c1ccc2ccccc2c1.[Br-]
4.98,Cc1cccc(C)c1NC(=O)Nc1ccc(Oc2ccnc3cc4c(cc23)C(C)(C)C(=O)N4)cc1
5.93,Cc1cc(C)c(-c2csc(NC(=O)/C=C/c3ccc(C4CC4)cc3)n2)c(C)c1
6.49,CCCO[C@@H]1OCc2c(cc3n(c2=O)Cc2cc4ccccc4nc2-3)[C@@]1(O)CC
4.95,CCOc1ccc2c3cc[n+](Cc4ccccc4)c(C)c3n(CC)c2c1.[Br-]
6.78,COc1cc(-c2nnc3c(OC4CC4)cc(-c4ccc5c(ccn5C)c4)cn23)cc(OC)c1OC
5.69,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(ccc4ocnc43)nc2-1
5.99,CC#CC(=O)O[C@H]1c2cc3c(cc2[C@@H](c2cc(OC)c(OC)c(OC)c2)[C@H]2C(=O)OC[C@@H]21)OCO3
4.9,COc1ccc(N/C=C\C(=O)c2c(-c3ccc(OC)cc3)nc3ccccn23)cc1
4.86,O=C(Nc1ccc(Br)cc1)C(Cl)Cl
5.22,COc1cc([C@@H]2c3cc4c(cc3[C@@H](NC(=S)NC(=O)c3cccc5ccccc35)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
4.04,COc1cc(O)cc(/C=C/c2ccc(O)cc2)c1
5.0,COc1cccc2cc(-c3ccccc3)c(O)nc12
6.03,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(OC)cc1
4.71,Fc1ccc(-c2nc3ncccn3c2-c2nc3ccc(Cl)cc3[nH]2)cc1
4.33,Sc1ncnc2nc[nH]c12
4.47,Cc1cccc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cccc4c3C(=O)c3ccccc3C4=O)cc2)c1
5.16,CCn1cc(C(=O)NCc2ccc(OC)cc2)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
6.3,CCCOc1ccc(-c2nnnn2-c2cc(OC)c(OC)c(OC)c2)cc1
6.01,CCN(CC)CCNC(=O)Nc1nc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4F)c3)cn2n1
5.0,Nc1nn(Cc2nnc(Nc3ccc(Br)cc3)s2)c2nc(C(F)(F)F)ccc12
5.04,COc1ccc(/C=N/c2c(C#N)ncn2Cc2ccc(F)cc2)cc1OC
6.92,O=C1C(N[C@H](Cc2ccccc2)C(=O)Nc2ccc(Br)c(F)c2)=C/C(=N/O)c2ccccc21
4.32,CCOC(=O)CNc1nc(NCCc2ccccc2)ncc1[N+](=O)[O-]
6.86,CNc1nc(-c2cc(OC)c(OC)c(OC)c2)c(-c2ccc(OC)cc2)s1
5.44,CCC/C=C1/C(=O)Nc2ccc(Nc3ccc(C)cc3)cc21
4.74,O=C(Nc1cc(-c2cncnc2)cc(C(F)(F)F)c1)Nc1nccs1
4.37,Nc1nc2[nH]c(CCSCC(=O)NCc3ccncc3)cc2c(=O)[nH]1
4.13,COc1ccc(-c2cn3nc(-c4ccccc4)c(C(=O)O)c3n2C)cc1
5.09,C=C1C(=O)[C@]23CC[C@@H]4[C@@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@H]1C3
7.4,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
4.55,CCCc1ccc(-c2cn(C3COC4=C(Cl)C(=O)C(=O)c5cccc3c54)nn2)cc1
4.86,COc1cc(-c2csc(=S)n2Cc2ccccc2Cl)cc(OC)c1OC
4.69,C=C1C(=O)[C@]23[C@H](OC(=O)CN)[C@@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CCC2=O
6.71,C=C(c1ccc(OC)c(Cl)c1)c1cc(OC)c(OC)c([Se]C)c1
4.38,CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+](C)(C)C
4.48,O=S(=O)(Oc1cccc2ccccc12)c1ccc2[nH]c3ccncc3c2c1
5.52,COc1c(C)cc2c([nH]c3c2c(F)cc2c(=O)c(C(=O)O)cn(C4CC4)c23)c1C
6.22,CCCCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)CO[C@@H](OCCOCC)[C@]3(O)CC
4.85,C=C1[C@H]2C[C@]3(C(=C[C@@H]2O)[C@@]24CO[C@]3(O)[C@@H](O)[C@@H]2C(C)(C)CC[C@@H]4OC(C)=O)[C@@H]1O
6.29,COc1ccc(N/C=C/C(=O)c2cccnc2Nc2cc(OC)c(OC)c(OC)c2)cc1
4.88,Nc1nc2cc(-c3nn(CCCCCCCCC(=O)NO)c4ncnc(N)c34)ccc2o1
5.92,CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCN1C)C(=O)N[C@@H](C[C@@H](OC(C)=O)c1nc(C(=O)N[C@@H](Cc2ccccc2)C[C@H](C)C(=O)O)cs1)C(C)C
5.84,COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1OCCCCC(=O)NO
4.8,CCOC(=O)c1c(C)[nH]c(=O)c(C#N)c1-c1ccc(C)cc1
5.0,COc1ccc(/C=C2\CCC/C(=C\c3ccc(Cl)cc3)C2=O)cc1OC
4.76,C=CCn1c(-c2ccc(OC)cc2C=C)cc2ccccc2c1=O
4.16,COc1ccc(N2CCN(C(=O)Cc3ccc(CCCN4Cc5cc6ccccc6nc5C4=O)cc3)CC2)cc1
6.0,Cn1ccc(CC(=O)Nc2nnc(CCSCCc3nnc(NC(=O)Cc4ccn(C)c4)[se]3)[se]2)c1
5.26,COc1ccc(/C=C2\CCC/C(=C\c3cc(Cl)cc(Cl)c3)C2=O)cc1OC
5.82,Cc1ccc2c(c1)-c1nc(C#N)c(C#N)nc1C2=O
5.66,COc1ccc2c3cc[n+](CCCCCC[n+]4ccc5c6ccc(OC)cc6n(C)c5c4C)c(C)c3n(C)c2c1.[Br-].[Br-]
4.61,CCN(CC)c1ccc2cc(C(=O)c3ccc(N4CCN(S(=O)(=O)c5ccc([N+](=O)[O-])cc5)CC4)cc3)oc2c1
5.0,COc1c(OCCCN2CCNCC2)cc(O)c2c(=O)cc(-c3ccccc3)oc12
5.17,CCCCCCCCCC(O)CN
5.3,O=C(Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1)c1cc(-c2ccccc2)ccn1
