pChEMBL Value,Canomicalsmiles
1.0,COc1cc(C(=O)c2csc(Nc3ccc4[nH]ccc4c3)n2)cc(OC)c1OC
0.0,CN(C)C(=O)Cc1ccc2[nH]c(=O)c3ccccc3c2c1
1.0,COc1cc(-c2c[nH]cc2-c2cc3ccccc3s2)cc(OC)c1OC
0.0,COc1cc2c(cc1Oc1ccc(C(=O)Nc3ccccc3N)cn1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
0.0,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
1.0,COC(=O)c1ccc2c(c1)NCCN2Cc1cc(OC)c(OC)c(OC)c1
1.0,COc1cc(N(C(C)=O)S(=O)(=O)c2ccc(N(C)C)cc2)cc(OC)c1OC
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
1.0,COc1ccc(N(C)c2nc(Cl)nc3cccnc23)cc1F
1.0,COc1ccc(C(=O)c2ccc(F)cc2)cc1OCCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,COc1ccc(-c2cccn2-c2cc(OC)c(OC)c(OC)c2)cc1Cl
1.0,COc1cc(C2C(C#N)=C(N)Oc3c2ccc2ccccc32)cc(OC)c1OC(C)C
0.0,COc1cc(N(Cc2cn(C)c3ccc(C)cc23)C(=O)Cn2cccn2)cc(OC)c1OC
1.0,COc1ccc(-c2cccn2-c2cc(OC)c(OC)c(OC)c2)cc1F
0.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
0.0,Cc1ccc(N2CCN(C(=O)c3nnnn3-c3ccccc3)CC2)cc1C
0.0,Cc1ncc([N+](=O)[O-])n1CCOC(=O)NC(Nc1nccc(=O)[nH]1)C(Cl)(Cl)Cl
0.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
0.0,COc1cc(-n2cnc3ccc(-c4ccc(C(F)(F)F)cc4)cc32)cc(OC)c1OC
0.0,CCn1c2ccccc2c2cc(NC(=O)CC(C)=NNC(=O)c3cccs3)ccc21
